VALUE,EVT_Fuel,EVT_Name,EVT_LF,SystemGroupID,SystmGrpPhys,SystmGrpName,SAF_SRM,NVCSOrder,NVCSClass,NVCSSubclass,r,g,b,Red,Green,Blue
-9999,-9999,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,255,255,255,1.000000,1.000000,1.000000
3001,2001,Inter-Mountain Basins Sparsely Vegetated Systems,Sparse,700,Sparsely Vegetated,Sparse Vegetation,LF 33: Sparsely Vegetated,No Dominant Lifeform,Sparsely vegetated,Sparsely vegetated,100,100,100,0.392157,0.392157,0.392157
3002,2002,Mediterranean California Sparsely Vegetated Systems,Sparse,700,Sparsely Vegetated,Sparse Vegetation,LF 33: Sparsely Vegetated,No Dominant Lifeform,Sparsely vegetated,Sparsely vegetated,100,100,100,0.392157,0.392157,0.392157
3003,2003,North Pacific Sparsely Vegetated Systems,Sparse,700,Sparsely Vegetated,Sparse Vegetation,LF 33: Sparsely Vegetated,No Dominant Lifeform,Sparsely vegetated,Sparsely vegetated,100,100,100,0.392157,0.392157,0.392157
3004,2004,North American Warm Desert Sparsely Vegetated Systems,Sparse,700,Sparsely Vegetated,Sparse Vegetation,LF 33: Sparsely Vegetated,No Dominant Lifeform,Sparsely vegetated,Sparsely vegetated,100,100,100,0.392157,0.392157,0.392157
3006,2006,Rocky Mountain Alpine/Montane Sparsely Vegetated Systems,Sparse,700,Sparsely Vegetated,Sparse Vegetation,LF 33: Sparsely Vegetated,No Dominant Lifeform,Sparsely vegetated,Sparsely vegetated,100,100,100,0.392157,0.392157,0.392157
3007,2007,Western Great Plains Sparsely Vegetated Systems,Sparse,700,Sparsely Vegetated,Sparse Vegetation,LF 33: Sparsely Vegetated,No Dominant Lifeform,Sparsely vegetated,Sparsely vegetated,100,100,100,0.392157,0.392157,0.392157
3008,2008,North Pacific Oak Woodland,Tree,629,Hardwood,Western Oak Woodland and Savanna,SAF 233: Oregon White Oak,Tree-dominated,Open tree canopy,Deciduous open tree canopy,203,255,171,0.796078,1.000000,0.670588
3009,2009,Northwestern Great Plains Aspen Forest and Parkland,Tree,602,Hardwood,"Aspen Forest, Woodland, and Parkland",SAF 217: Aspen,Tree-dominated,Open tree canopy,Deciduous open tree canopy,192,255,138,0.752941,1.000000,0.541176
3011,2011,Rocky Mountain Aspen Forest and Woodland,Tree,602,Hardwood,"Aspen Forest, Woodland, and Parkland",SAF 217: Aspen,Tree-dominated,Open tree canopy,Deciduous open tree canopy,192,255,138,0.752941,1.000000,0.541176
3012,2012,Rocky Mountain Bigtooth Maple Ravine Woodland,Tree,605,Hardwood,Bigtooth Maple Woodland,SRM 418: Bigtooth Maple,Tree-dominated,Open tree canopy,Deciduous open tree canopy,171,255,138,0.670588,1.000000,0.541176
3013,2013,Western Great Plains Dry Bur Oak Forest and Woodland,Tree,659,Hardwood,Bur Oak Woodland and Savanna,SAF 236: Bur Oak,Tree-dominated,Open tree canopy,Deciduous open tree canopy,6,53,122,0.023529,0.207843,0.478431
3014,2014,Central and Southern California Mixed Evergreen Woodland,Tree,626,Conifer,California Mixed Evergreen Forest and Woodland,SAF 249: Canyon Live Oak,Tree-dominated,Open tree canopy,Evergreen open tree canopy,145,255,115,0.568627,1.000000,0.450980
