Type                         Code    Pixels   Accuracy     Error   Kappa   Accuracy      Error    Kappa
Corn                            1     42856     93.85%     6.15%   0.937     87.19%     12.81%    0.870
Sorghum                         4        83     37.56%    62.44%   0.375     22.02%     77.98%    0.220
Sunflower                       6       586     33.58%    66.42%   0.336     91.42%      8.58%    0.914
Sweet Corn                     12      6187     65.62%    34.38%   0.655     69.55%     30.45%    0.694
Pop or Orn Corn                13         0       n/a       n/a     n/a       0.00%    100.00%    0.000
Mint                           14       859     40.20%    59.80%   0.402     79.46%     20.54%    0.794
Barley                         21     27468     68.65%    31.35%   0.682     79.47%     20.53%    0.792
Spring Wheat                   23     42397     74.25%    25.75%   0.737     78.57%     21.43%    0.781
Winter Wheat                   24    603659     97.00%     3.00%   0.961     96.53%      3.47%    0.955
Rye                            27       153      7.25%    92.75%   0.072     35.33%     64.67%    0.353
Oats                           28      3758     36.46%    63.54%   0.362     39.78%     60.22%    0.395
Canola                         31      8386     84.25%    15.75%   0.842     93.92%      6.08%    0.939
Flaxseed                       32         0       n/a       n/a     n/a       0.00%    100.00%    0.000
Safflower                      33        39     13.73%    86.27%   0.137     90.70%      9.30%    0.907
Rape Seed                      34        27      8.04%    91.96%   0.080     96.43%      3.57%    0.964
Mustard                        35       966     76.61%    23.39%   0.766     89.94%     10.06%    0.899
Alfalfa                        36    165628     88.24%    11.76%   0.873     87.08%     12.92%    0.861
Other Hay/Non Alfalfa          37    104608     71.26%    28.74%   0.699     89.28%     10.72%    0.887
Camelina                       38       213     88.75%    11.25%   0.887     98.16%      1.84%    0.982
Buckwheat                      39         0      0.00%   100.00%   0.000      0.00%    100.00%    0.000
Sugarbeets                     41      5561     88.88%    11.12%   0.889     93.13%      6.87%    0.931
Dry Beans                      42      6997     69.46%    30.54%   0.694     81.84%     18.16%    0.818
Potatoes                       43     31045     94.32%     5.68%   0.943     91.44%      8.56%    0.913
Other Crops                    44      2181     39.62%    60.38%   0.395     51.73%     48.27%    0.516
Misc Vegs & Fruits             47        47     12.47%    87.53%   0.125     85.45%     14.55%    0.855
Watermelons                    48        50     43.48%    56.52%   0.435     45.87%     54.13%    0.459
Onions                         49     13195     85.68%    14.32%   0.856     90.46%      9.54%    0.904
Peas                           53     17845     85.44%    14.56%   0.853     93.31%      6.69%    0.933
Caneberries                    55       411     34.00%    66.00%   0.340     46.81%     53.19%    0.468
Hops                           56       452     49.29%    50.71%   0.493     80.14%     19.86%    0.801
Herbs                          57      9164     79.34%    20.66%   0.793     87.23%     12.77%    0.872
Clover/Wildflowers             58     10326     73.89%    26.11%   0.738     83.79%     16.21%    0.837
Sod/Grass Seed                 59    139298     88.25%    11.75%   0.875     91.47%      8.53%    0.909
Fallow/Idle Cropland           61    549034     96.58%     3.42%   0.957     98.19%      1.81%    0.977
Cherries                       66      5424     80.80%    19.20%   0.808     90.79%      9.21%    0.908
Peaches                        67         0      0.00%   100.00%   0.000      0.00%    100.00%    0.000
Apples                         68      1133     73.00%    27.00%   0.730     78.25%     21.75%    0.782
Grapes                         69       405     41.12%    58.88%   0.411     68.18%     31.82%    0.682
Christmas Trees                70      2810     61.57%    38.43%   0.615     81.47%     18.53%    0.814
Other Tree Crops               71      5037     70.13%    29.87%   0.701     79.90%     20.10%    0.798
Walnuts                        76         0      0.00%   100.00%   0.000      0.00%    100.00%    0.000
Pears                          77         5      6.41%    93.59%   0.064     35.71%     64.29%    0.357
Triticale                     205      1918     20.29%    79.71%   0.202     57.12%     42.88%    0.570
Carrots                       206      2452     58.80%    41.20%   0.588     85.94%     14.06%    0.859
Garlic                        208       497     49.85%    50.15%   0.498     89.87%     10.13%    0.899
Cantaloupes                   209         0      0.00%   100.00%   0.000       n/a        n/a      n/a
Broccoli                      214        12      3.13%    96.88%   0.031     10.08%     89.92%    0.101
Peppers                       216       162     90.00%    10.00%   0.900     94.19%      5.81%    0.942
Greens                        219         0      0.00%   100.00%   0.000      0.00%    100.00%    0.000
Plums                         220        13      2.30%    97.70%   0.023     44.83%     55.17%    0.448
Strawberries                  221        16      6.08%    93.92%   0.061      8.79%     91.21%    0.088
Squash                        222        52     14.53%    85.47%   0.145     28.11%     71.89%    0.281
Vetch                         224       123     15.91%    84.09%   0.159     34.07%     65.93%    0.341
Dbl Crop WinWht/Corn          225         2      0.34%    99.66%   0.003     66.67%     33.33%    0.667
Lettuce                       227         0       n/a       n/a     n/a       0.00%    100.00%    0.000
Pumpkins                      229       149     61.57%    38.43%   0.616     42.57%     57.43%    0.426
Dbl Crop WinWht/Sorghum       236         0       n/a       n/a     n/a       0.00%    100.00%    0.000
Blueberries                   242       505     36.12%    63.88%   0.361     52.77%     47.23%    0.527
Cabbage                       243         0      0.00%   100.00%   0.000      0.00%    100.00%    0.000
Cauliflower                   244         0      0.00%   100.00%   0.000      0.00%    100.00%    0.000
Radishes                      246      2713     48.96%    51.04%   0.489     94.01%      5.99%    0.940
Turnips                       247        27      2.82%    97.18%   0.028     93.10%      6.90%    0.931
Gourds                        249         0      0.00%   100.00%   0.000       n/a        n/a      n/a
Cranberries                   250         3     20.00%    80.00%   0.200     75.00%     25.00%    0.750
